X1,institute,date_debut,date_fin,methode,interroges,question_id,nspp,base,intentions_exprimees,candidates,percentages,lien,survey_id,certitude,remove,z,sum_z
77,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Dupont Aignan,2,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,0,7
78,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Philippot,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,0,7
79,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Le Pen,15,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,1,7
80,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Zemmour,14,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,1,7
81,Elabe,2021-12-07,2021-12-09,internet,1354,1,13,SV,965,Thouy,0,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9255-p-elabe-bfm.pdf,5,NA,0,0,7
84,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Arthaud,0.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,0,7
85,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Poutou,0.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,0,7
86,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Roussel,2.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,0,7
87,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Melenchon,9,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,1,7
88,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Hidalgo,5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,1,7
89,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Montebourg,1.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,0,7
90,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Jadot,6,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,1,7
91,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Macron,25,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,1,7
92,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Pecresse,17,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,1,7
93,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Dupont Aignan,2.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,0,7
94,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Le Pen,17,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,1,7
95,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Zemmour,13,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,1,7
96,Ifop,2021-12-04,2021-12-06,internet,1341,1,24.2,I,1016,Lassalle,0.5,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9254-p-ifop-le-figaro-v7.pdf,6,NA,0,0,7
99,Harris interactive,2021-12-03,2021-12-06,internet,2129,1,14,I,1830,Arthaud,1,http://www.commission-des-sondages.fr/notices/files/notices/2021/decembre/9252-p-hi-challenges-v25.pdf,7,NA,0,0,7
