department,candidate,list,votes,percentage
Val-d'Oise,Aurelien Veron,PLD -GC,1 953,0,66
Val-d'Oise,Valerie Sachs,NC,1 436,0,48
Val-d'Oise,Sylvain De Smet,DVE - PP- CVB - CSF,982,0,33
Val-d'Oise,Nizarr Bourchada,UDMF,981,0,33
Val-d'Oise,Dawari Horsfall,Liste d'union citoyenne,606,0,2
Yvelines,Valerie Pecresse,LR - UDI- MoDem- PCD,166 975,37,23
Yvelines,Claude Bartolone,PS - PRG - MRC - mdP - UDE,96 521,21,52
Yvelines,Emmanuelle Cosse,EELV - Cap21,32 545,7,26
Yvelines,Pierre Laurent,FG,17 048,3,8
Yvelines,Wallerand de Saint-Just,FN,85 429,19,05
Yvelines,Nicolas Dupont-Aignan,DLF,29 926,6,67
Yvelines,Nathalie Arthaud,LO,5 304,1,18
Yvelines,Francois Asselineau,UPR,4 052,0,9
Yvelines,Aurelien Veron,PLD - GC,3 799,0,85
Yvelines,Valerie Sachs,NC,3 663,0,82
Yvelines,Nizarr Bourchada,UDMF,1 532,0,34
Yvelines,Sylvain De Smet,DVE - PP- CVB - CSF,1 002,0,22
Yvelines,Dawari Horsfall,Liste d'union citoyenne,754,0,17
Cote-d'Or,Francois Sauvadet,UDI?-?LR,55?506,30,75
Cote-d'Or,Edouard Cavin,FN,50?020,27,71
Cote-d'Or,Michel Neugnot,PS?-?PRG?-?UDE?-?Cap21?-?MDP,40?180,22,26
Cote-d'Or,Corinne Bobard,DLF,7?814,4,33
Cote-d'Or,Jer?me Peditent,FG?-?MRC?-?ND,7?401,2,08
Cote-d'Or,Philippe Hervieu,EELV?-?MEI,6?707,1,89
Cote-d'Or,Patrick Hillon,MoDem,5?413,1,52
Cote-d'Or,Bruno Louis,AEI,3?861,1,09
Cote-d'Or,Stephane Pournin,LO,2?312,0,65
Cote-d'Or,Edouard Clair,UPR,1?318,0,37
Doubs,Sophie Montel,FN,57?349,31,74
Doubs,Marie-Guite Dufay,PS?-?PRG?-?UDE?-?Cap21?-?MDP,47?137,26,09
Doubs,Patrick Genre,UDI?-?LR,41?155,22,78
Doubs,Jean-Claude Chomette,DLF,7?844,4,35
Doubs,Cecile Prudhomme,EELV?-?MEI,7?191,3,99
Doubs,Jean-Christophe Jacottot,FG?-?MRC?-?ND,6?317,3,49
Doubs,Laurent Croizier,MoDem,5?642,3,12
Doubs,Bruno Patois,AEI,3?806,2,11
Doubs,Michel Treppo,LO,2?515,1,39
Doubs,Karine Comas,UPR,1?714,0,95
Jura,Stephane Montrelay,FN,27?988,29,93
Jura,Helene Pelissard,UDI?-?LR,21?827,23,34
Jura,Sylvie Laroche,PS?-?PRG?-?UDE?-?Cap21?-?MDP,21?679,23,19
Jura,Bernard Breniaux,DLF,5?204,5,57
Jura,Patrick Viverge,FG?-?MRC?-?ND,4?880,5,22
Jura,Brigitte Monnet,EELV?-?MEI,4?394,4,7
Jura,Jean Bordat,MoDem,2?920,3,12
Jura,Gerard Lacroix,AEI,2?358,2,52
Jura,Dominique Revoy,LO,1?338,1,43
Jura,Frederic Jaillet,UPR,913,0,98
Nievre,Marcel Stephan,FN,22?957,31,36
Nievre,Sylvain Mathieu,PS?-?PRG?-?UDE?-?Cap21?-?MDP,17?934,24,51
Nievre,Guillaume Maillard,UDI?-?LR,13?213,18,06
Nievre,Jimmy Derouault,FG?-?MRC?-?ND,5?387,7,36
Nievre,Michele Baucomont,DLF,4?004,5,47
Nievre,Isabelle Bonnicel,MoDem,2?879,3,94
Nievre,Virginie Charriere,EELV?-?MEI,2?714,3,71
Nievre,Julien Gonzalez,AEI,1?646,2,25
Nievre,Genevieve Lemoine,LO,1?438,1,97
Nievre,Charles-Henri Gallois,UPR,1?003,1,37
Haute-Saone,Karine Champy,FN,35?146,37,35
Haute-Saone,Lo?c Niepceron,PS?-?PRG?-?UDE?-?Cap21?-?MDP,22?477,23,88
Haute-Saone,Alain Joyandet,UDI?-?LR,19?658,20,89
Haute-Saone,Denis Husser,DLF,4?479,4,76
Haute-Saone,Gilles Lazar,FG?-?MRC?-?ND,3?066,3,26
Haute-Saone,Marie-Claire Thomas,EELV?-?MEI,2?825,3
Haute-Saone,Jean-Claude Durupt-Vignard,MoDem,2?296,2,44
Haute-Saone,Chantal Belot,AEI,1?813,1,93
Haute-Saone,Daniel Rouillon,LO,1?546,1,64
Haute-Saone,Alexandre Salerno,UPR,805,0,86
Saone-et-Loire,Lilian Noirot,FN,52?576,28,99
Saone-et-Loire,Arnaud Danjean,UDI?-?LR,45?556,25,12
Saone-et-Loire,Jer?me Durain,PS?-?PRG?-?UDE?-?Cap21?-?MDP,41?505,22,89
Saone-et-Loire,Maxime Thiebault,DLF,11?449,6,31
Saone-et-Loire,Nathalie Vermorel,FG?-?MRC?-?ND,9?564,5,27
Saone-et-Loire,Francois Lotteau,EELV?-?MEI,7?241,3,99
Saone-et-Loire,Sophie Micollet,MoDem,5?270,2,91
Saone-et-Loire,Jean-Pierre Lepri,AEI,3?730,2,06
Saone-et-Loire,Pascal Dufraigne,LO,2?929,1,62
Saone-et-Loire,Crole Vignal,UPR,1?533,0,85
Yonne,Julien Odoul,FN,41?187,36,19
Yonne,Eric Gentis,UDI?-?LR,25?554,22,45
Yonne,Frederique Colas,PS?-?PRG?-?UDE?-?Cap21?-?MDP,20?967,18,42
Yonne,Didier Hamelin,DLF,7?095,6,23
Yonne,Francois Meyroune,FG?-?MRC?-?ND,5?740,5,04
Yonne,Jean Masse,EELV?-?MEI,4?775,4,2
Yonne,Dominique Aguilar,MoDem,3?355,2,95
Yonne,Claude Thely,AEI,2?437,2,14
Yonne,Sylvie Manigaut,LO,1?578,1,39
Yonne,Gildas Joly,UPR,1?113,0,98
Territoire de Belfort,Patrick Jeanroch,FN,15?910,34,76
Territoire de Belfort,Maude Clavequin,PS?-?PRG?-?UDE?-?Cap21?-?MDP,9?485,20,72
Territoire de Belfort,Didier Vallverdu,UDI?-?LR,8?587,18,76
Territoire de Belfort,Christophe Grudler,MoDem,3?656,7,99
Territoire de Belfort,Alain Letailleur,FG?-?MRC?-?ND,2?123,4,64
Territoire de Belfort,Jean-Christophe Muringer,DLF,1?900,4,15
Territoire de Belfort,Jean Siron,EELV?-?MEI,1?847,4,04
Territoire de Belfort,Christine Grandjean,AEI,967,2,11
Territoire de Belfort,Claire Rocher,LO,860,1,88
Territoire de Belfort,Jonathan Vallart,UPR,433,0,95
Corse du Sud,Jose Rossi,LR,11793,19.48
Corse du Sud,Camille de Rocca Serra,LR,9219,15.23
Corse du Sud,Gilles Simeoni,,8969,14.82
Corse du Sud,Christophe Canioni,FN,7152,11.81
Corse du Sud,Paul Giacobbi,PRG,6885,18.42
Corse du Sud,Jean-Guy Talamoni,Corsica libera,4572,7.55
Corse du Sud,Dominique Bucchini,PCF,3792,6.26
Corse du Sud,Jean-Charles Orsucci,PS,2904,4.8
Corse du Sud,Paul-Felix Benedetti,CiF,1655,2.73
Corse du Sud,Emmanuelle de Gentili,PS,1549,2.56
Corse du Sud,Jean Zuccarelli,PRG,1297,2.14
Corse du Sud,Hyacinthe Santoni,DLF,747,1.23
Haute Corse,Paul Giacobbi,PRG,17801,24.23
Haute Corse,Gilles Simeoni,FaC,14634,19.92
Haute Corse,Camille de Rocca Serra,LR,7799,10.62
Haute Corse,Christophe Canioni,FN,7024,9.56
Haute Corse,Jose Rossi,LR,5855,7.97
Haute Corse,Jean-Guy Talamoni,Corsica libera,5770,7.86
Haute Corse,Dominique Bucchini,PCF,3657,4.98
Haute Corse,Jean Zuccarelli,Autre_Gauche,2930,3.99
Haute Corse,Emmanuelle de Gentili,Autre_Gauche,2804,3.82
Haute Corse,Jean-Charles Orsucci,PS,2630,3.58
Haute Corse,Paul-Felix Benedetti,CiF,1796,2.45
Haute Corse,Hyacinthe Santoni,DLF,755,1.03
