department;liste;candidate;votes;percentage_inscriped;percentage_expressed;bloc
Pas-de-Calais;AVEC SEBASTIEN CHENU;CHENU Sebastien;96326;8,85;26,4;Droite radicale et extreme droite
Somme;AVEC SEBASTIEN CHENU;CHENU Sebastien;32017;7,88;22,67;Droite radicale et extreme droite
Loire-Atlantique;UNION DE LA DROITE ET DU;MORANcAIS Christelle;90186;8,75;29,28;Droite
Maine-et-Loire;UNION DE LA DROITE ET DU;MORANcAIS Christelle;56847;9,83;35,3;Droite
Mayenne;UNION DE LA DROITE ET DU;MORANcAIS Christelle;21106;9,45;31,16;Droite
Sarthe;UNION DE LA DROITE ET DU;MORANcAIS Christelle;45854;11,21;40,12;Droite
Vendee;UNION DE LA DROITE ET DU;MORANcAIS Christelle;64955;12,15;40,03;Droite
Cher;UNION DE LA DROITE, DU CE;FORISSIER Nicolas;14288;6,38;20,42;Droite
Eure-et-Loir;UNION DE LA DROITE, DU CE;FORISSIER Nicolas;16177;5,37;17,67;Droite
Indre;UNION DE LA DROITE, DU CE;FORISSIER Nicolas;16068;9,69;28,6;Droite
Indre-et-Loire;UNION DE LA DROITE, DU CE;FORISSIER Nicolas;24167;5,59;18,91;Droite
Loir-et-Cher;UNION DE LA DROITE, DU CE;FORISSIER Nicolas;12757;5,26;15,48;Droite
Loiret;UNION DE LA DROITE, DU CE;FORISSIER Nicolas;23574;5,23;16,73;Droite
Ain;UNION ESSENTIELLE;GILL Shella;628;0,15;0,48;Autre
Allier;UNION ESSENTIELLE;GILL Shella;483;0,2;0,56;Autre
Ardeche;UNION ESSENTIELLE;GILL Shella;514;0,2;0,57;Autre
Cantal;UNION ESSENTIELLE;GILL Shella;151;0,13;0,33;Autre
Drome;UNION ESSENTIELLE;GILL Shella;1266;0,34;1,03;Autre
Isere;UNION ESSENTIELLE;GILL Shella;1928;0,22;0,72;Autre
Loire;UNION ESSENTIELLE;GILL Shella;1057;0,21;0,72;Autre
Haute-Loire;UNION ESSENTIELLE;GILL Shella;318;0,18;0,45;Autre
Puy-de-Dome;UNION ESSENTIELLE;GILL Shella;1020;0,22;0,64;Autre
Rhone;UNION ESSENTIELLE;GILL Shella;2307;0,2;0,68;Autre
Savoie;UNION ESSENTIELLE;GILL Shella;667;0,21;0,66;Autre
Haute-Savoie;UNION ESSENTIELLE;GILL Shella;859;0,16;0,57;Autre
Ariege;UNION ESSENTIELLE;LE BOURSICAUD Anthony;364;0,31;0,77;Autre
Aude;UNION ESSENTIELLE;LE BOURSICAUD Anthony;193;0,07;0,19;Autre
Aveyron;UNION ESSENTIELLE;LE BOURSICAUD Anthony;367;0,17;0,41;Autre
Gard;UNION ESSENTIELLE;LE BOURSICAUD Anthony;799;0,15;0,46;Autre
Haute-Garonne;UNION ESSENTIELLE;LE BOURSICAUD Anthony;701;0,08;0,22;Autre
Gers;UNION ESSENTIELLE;LE BOURSICAUD Anthony;89;0,06;0,14;Autre
Herault;UNION ESSENTIELLE;LE BOURSICAUD Anthony;1815;0,22;0,69;Autre
Lot;UNION ESSENTIELLE;LE BOURSICAUD Anthony;111;0,08;0,19;Autre
Lozere;UNION ESSENTIELLE;LE BOURSICAUD Anthony;36;0,06;0,13;Autre
Hautes-Pyrenees;UNION ESSENTIELLE;LE BOURSICAUD Anthony;82;0,05;0,12;Autre
Pyrenees-Orientales;UNION ESSENTIELLE;LE BOURSICAUD Anthony;1029;0,29;0,87;Autre
Tarn;UNION ESSENTIELLE;LE BOURSICAUD Anthony;120;0,04;0,11;Autre
Tarn-et-Garonne;UNION ESSENTIELLE;LE BOURSICAUD Anthony;503;0,27;0,72;Autre
Guyane;UNIS ET ENGAGeS POUR NOTR;ALEXANDRE Rodolphe;15020;14,75;43,71;Droite
Calvados;VIVRE LA NORMANDIE;MORIN Herve;69725;13,91;42,13;Droite
Eure;VIVRE LA NORMANDIE;MORIN Herve;51243;11,98;37,88;Droite
Manche;VIVRE LA NORMANDIE;MORIN Herve;49051;12,92;41,72;Droite
Orne;VIVRE LA NORMANDIE;MORIN Herve;29434;14,36;44,05;Droite
Seine-Maritime;VIVRE LA NORMANDIE;MORIN Herve;78810;9,05;29,22;Droite
Alpes-de-Haute-Provence;ZOU!;LAUPIES Valerie;861;0,68;1,79;Droite radicale et extreme droite
Hautes-Alpes;ZOU!;LAUPIES Valerie;744;0,67;1,68;Droite radicale et extreme droite
Alpes-Maritimes;ZOU!;LAUPIES Valerie;3578;0,47;1,43;Droite radicale et extreme droite
Bouches-du-Rhone;ZOU!;LAUPIES Valerie;7010;0,51;1,64;Droite radicale et extreme droite
Var;ZOU!;LAUPIES Valerie;4197;0,53;1,66;Droite radicale et extreme droite
Vaucluse;ZOU!;LAUPIES Valerie;2756;0,68;2,06;Droite radicale et extreme droite
