departement,year,election_id,department_id,n,y,p_abstentions,lag_p_abstentions
Ain,1995,2,2,314259,62726,0.19959969324665325,0.18961470040245756
Aisne,1995,2,3,371939,69949,0.1880657849808705,0.161803786122659
Allier,1995,2,4,264005,52130,0.1974583814700479,0.1728136739293764
Alpes de Haute Provence,1995,2,5,103874,21113,0.20325586768585016,0.17571881704425305
Hautes Alpes,1995,2,6,88719,17994,0.2028201399925608,0.18467112188196128
Alpes Maritimes,1995,2,7,680770,166388,0.2444114752412709,0.19916776387805382
Ardèche,1995,2,8,211247,39955,0.18913878066907458,0.17335462473897556
Ardennes,1995,2,9,194299,41874,0.2155132038764996,0.1842394416330068
Ariège,1995,2,10,108226,19961,0.1844381202298893,0.18196697057681283
Aube,1995,2,11,192789,37631,0.19519267178106633,0.18908677529367185
Aude,1995,2,12,225975,38990,0.1725412103108751,0.152494901302129
Bouches du Rhône,1995,2,13,1108942,259271,0.23380032499445416,0.20024786915457268
Calvados,1995,2,14,437282,83378,0.1906732954935259,0.18115235553324677
Cantal,1995,2,15,125662,23361,0.18590345530072735,0.17309028193642656
Charente,1995,2,16,254586,51067,0.20058840627528615,0.17425110979755865
Charente Maritime,1995,2,17,397086,83567,0.21045063286038793,0.19500906988404723
Cher,1995,2,18,228986,46961,0.20508240678469425,0.1779157439745803
Corrèze,1995,2,19,185134,26277,0.14193503084252487,0.12483589862722111
Corse du Sud,1995,2,20,81080,26206,0.3232116428219043,0.3156036075192872
Haute Corse,1995,2,21,98947,33201,0.33554327063983747,0.33222756676065685
Côte d'Or,1995,2,22,326948,64451,0.19712920709103587,0.18497403693661432
Côtes d'Armor,1995,2,23,420696,69303,0.16473415482914028,0.1446460751448447
Creuse,1995,2,24,105801,22037,0.20828725626411848,0.19782819922268605
Dordogne,1995,2,25,303089,51250,0.1690922468317887,0.14646349256805305
Doubs,1995,2,26,325938,59270,0.1818443998551872,0.1669105593017609
Drôme,1995,2,27,292297,58243,0.19925965712956342,0.1785937795630849
Eure,1995,2,28,359333,68524,0.19069776502575606,0.17002185256210142
Eure et Loir,1995,2,29,273171,53750,0.19676319960757183,0.16633134479666237
Finistère,1995,2,30,625570,115503,0.18463641159262753,0.1676944732504803
Gard,1995,2,31,420294,82258,0.19571538018625056,0.17365034128135173
Haute Garonne,1995,2,32,655099,122616,0.18717170992475946,0.18489384333914818
Gers,1995,2,33,136625,24637,0.18032570905763953,0.17559564798237157
Gironde,1995,2,34,827836,163457,0.19745094438995164,0.17627700469523525
Hérault,1995,2,35,576736,112328,0.1947650224712867,0.18230361016423924
Ille et Vilaine,1995,2,36,581428,104521,0.17976602434007305,0.1703522504892368
Indre,1995,2,37,173973,33919,0.19496703511464422,0.1624717606512502
Indre et Loire,1995,2,38,369275,74166,0.20084219077922957,0.1859342424553129
Isère,1995,2,39,672788,136133,0.20234159943399704,0.1807590309340601
Jura,1995,2,40,177806,32819,0.184577573310237,0.17425508616218086
Landes,1995,2,41,244917,42499,0.17352409183519316,0.14622740400042786
Loir et Cher,1995,2,42,228208,41887,0.18354746547009745,0.15441834297150975
Loire,1995,2,43,486507,102466,0.21061567459461014,0.20267678818913792
Haute Loire,1995,2,44,159947,29655,0.18540516546105898,0.17575660835142382
Loire Atlantique,1995,2,45,768340,149382,0.19442174037535467,0.1859902798964135
Loiret,1995,2,46,395218,74792,0.18924239280599567,0.1626498595601836
Lot,1995,2,47,124755,19677,0.15772514127690274,0.14777730319358653
Lot et Garonne,1995,2,48,224985,39974,0.1776740671600329,0.15612616472100246
Lozère,1995,2,49,57701,9540,0.16533508951318002,0.1765735489743051
Maine et Loire,1995,2,50,489715,84755,0.17307005094800038,0.15884819050058946
Manche,1995,2,51,351768,65854,0.18720861476882492,0.17392056686003884
Marne,1995,2,52,366487,80625,0.21999416077514344,0.19301279833967486
Haute Marne,1995,2,53,145981,31149,0.21337708331906208,0.19045354493328623
Mayenne,1995,2,54,206397,34445,0.1668871156073005,0.1471524134846082
Meurthe et Moselle,1995,2,55,470685,100904,0.21437691874608283,0.19983516553724534
Meuse,1995,2,56,140834,27577,0.19581209083033926,0.16682115710965018
Morbihan,1995,2,57,472281,82460,0.1745994439750911,0.16079778863020433
Moselle,1995,2,58,690316,149769,0.21695716164770917,0.17817402017794892
Nièvre,1995,2,59,173997,35174,0.2021529106823681,0.1753798740150369
Nord,1995,2,60,1677857,339915,0.2025887784239062,0.16787267224200791
Oise,1995,2,61,488437,91000,0.18630857203692594,0.1555152769417711
Orne,1995,2,62,213690,38831,0.18171650521783891,0.16268864848914633
Pas de Calais,1995,2,63,1016315,188248,0.18522603720303252,0.14738848940571989
Puy de Dôme,1995,2,64,415645,76590,0.18426782470617956,0.17554190517469
Pyrénées Atlantiques,1995,2,65,432701,87421,0.20203558577401023,0.1737868936886314
Hautes Pyrénées,1995,2,66,173682,34821,0.20048709710850865,0.19162848109741543
Pyrénées Orientales,1995,2,67,266855,54786,0.20530250510576906,0.19700037316691676
Bas Rhin,1995,2,68,653671,134740,0.20612815927278402,0.18426202208895845
Haut Rhin,1995,2,69,458432,92658,0.202119398296803,0.17845737669215161
Rhône,1995,2,70,922698,182871,0.19819160765494234,0.19757172638377304
Haute Saône,1995,2,71,170138,30791,0.18097661897988693,0.15990629264228182
Saône et Loire,1995,2,72,399842,85405,0.21359687076395176,0.20097191189747263
