question_id,survey_id,pollster_id,candidate_id,y,t_unit
135,4,2,13,2,7
135,4,2,16,2,7
135,4,2,17,2,7
135,4,2,21,21,7
135,4,2,22,9,7
135,4,2,23,42,7
136,4,2,1,282,7
136,4,2,10,170,7
136,4,2,23,113,7
149,5,2,1,290,2
149,5,2,2,0,2
149,5,2,3,6,2
149,5,2,4,3,2
149,5,2,5,32,2
149,5,2,6,15,2
149,5,2,8,18,2
149,5,2,10,73,2
149,5,2,11,3,2
149,5,2,12,44,2
149,5,2,13,6,2
149,5,2,16,3,2
149,5,2,17,0,2
149,5,2,22,15,2
149,5,2,23,76,2
150,5,2,1,308,2
150,5,2,2,0,2
150,5,2,3,7,2
150,5,2,4,4,2
150,5,2,5,34,2
150,5,2,6,16,2
150,5,2,8,16,2
150,5,2,10,84,2
150,5,2,11,7,2
150,5,2,13,10,2
150,5,2,14,28,2
150,5,2,16,4,2
150,5,2,17,0,2
150,5,2,22,19,2
150,5,2,23,87,2
151,5,2,1,470,2
151,5,2,10,264,2
151,5,2,23,207,2
15,6,3,1,148,22
15,6,3,2,2,22
15,6,3,3,2,22
15,6,3,4,3,22
15,6,3,5,17,22
15,6,3,6,8,22
15,6,3,7,3,22
15,6,3,8,11,22
15,6,3,10,36,22
15,6,3,11,0,22
15,6,3,12,21,22
15,6,3,13,0,22
15,6,3,16,0,22
15,6,3,17,0,22
15,6,3,22,2,22
15,6,3,23,23,22
15,6,3,24,26,22
15,6,3,25,0,22
16,6,3,1,158,22
16,6,3,2,2,22
16,6,3,3,2,22
16,6,3,4,4,22
16,6,3,5,18,22
16,6,3,6,8,22
16,6,3,7,4,22
16,6,3,8,13,22
16,6,3,10,40,22
16,6,3,11,0,22
16,6,3,13,0,22
16,6,3,14,18,22
16,6,3,16,0,22
16,6,3,17,0,22
16,6,3,22,4,22
16,6,3,23,24,22
16,6,3,24,27,22
16,6,3,25,0,22
17,6,3,1,158,22
17,6,3,2,2,22
17,6,3,3,2,22
17,6,3,4,4,22
17,6,3,5,18,22
17,6,3,6,8,22
17,6,3,7,4,22
17,6,3,8,13,22
17,6,3,10,43,22
17,6,3,11,0,22
17,6,3,13,0,22
17,6,3,15,12,22
17,6,3,16,0,22
17,6,3,17,0,22
17,6,3,22,4,22
17,6,3,23,26,22
17,6,3,24,29,22
17,6,3,25,0,22
18,6,3,1,191,22
18,6,3,2,2,22
18,6,3,3,2,22
18,6,3,4,4,22
18,6,3,5,21,22
18,6,3,6,10,22
18,6,3,7,4,22
18,6,3,8,14,22
18,6,3,10,48,22
18,6,3,11,0,22
18,6,3,12,29,22
18,6,3,13,0,22
18,6,3,16,0,22
18,6,3,17,0,22
18,6,3,22,8,22
18,6,3,23,50,22
18,6,3,25,2,22
19,6,3,1,201,22
19,6,3,2,3,22
19,6,3,3,3,22
19,6,3,4,5,22
19,6,3,5,23,22
19,6,3,6,11,22
19,6,3,7,6,22
19,6,3,8,17,22
19,6,3,10,55,22
19,6,3,11,0,22
19,6,3,13,0,22
19,6,3,14,23,22
19,6,3,16,0,22
19,6,3,17,0,22
19,6,3,22,9,22
19,6,3,23,53,22
19,6,3,25,3,22
20,6,3,1,201,22
20,6,3,2,3,22
20,6,3,3,3,22
20,6,3,4,5,22
20,6,3,5,23,22
20,6,3,6,11,22
20,6,3,7,6,22
20,6,3,8,17,22
20,6,3,10,57,22
20,6,3,11,0,22
20,6,3,13,0,22
20,6,3,15,18,22
20,6,3,16,0,22
20,6,3,17,0,22
20,6,3,22,9,22
20,6,3,23,55,22
20,6,3,25,3,22
21,6,3,1,347,22
21,6,3,10,198,22
21,6,3,24,150,22
22,6,3,1,317,22
22,6,3,10,171,22
22,6,3,23,146,22
23,6,3,1,464,22
23,6,3,10,241,22
23,6,3,12,223,22
24,6,3,1,452,22
24,6,3,10,254,22
24,6,3,14,199,22
25,6,3,1,410,22
25,6,3,5,156,22
25,6,3,10,255,22
37,7,3,1,161,20
37,7,3,2,2,20
37,7,3,3,2,20
